dataset,method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
3d_spatial_arm_ellip_n3_traj,ecomann,pred_precision,1.0,7,0.08733258928571429,0.08951927019314866,0.2,0.0015694754464285715,0.08576311383928571,5464.444444444443
3d_spatial_arm_ellip_n3_traj,ecomann,pred_precision,1.5,7,0.09162248883928571,0.12540083151705544,0.2,0.0015694754464285715,0.09005301339285714,5737.777777777777
3d_spatial_arm_ellip_n3_traj,ecomann,pred_precision,3.0,7,0.11687360491071429,0.18478325909725538,0.2,0.0015694754464285715,0.11530412946428571,7346.666666666667
3d_spatial_arm_ellip_n3_traj,ecomann,pred_FPrate,0.2,7,0.5796088344233931,0.20068553467996547,0.2,0.5796088344233931,0.0,0.0
3d_spatial_arm_ellip_n3_traj,ecomann,pred_FPrate,0.5,7,0.3403576222361201,0.16698253759287093,0.2,0.5796088344233931,-0.23925121218727297,-41.27804787952984
3d_spatial_arm_ellip_n3_traj,ecomann,pred_FPrate,0.75,7,0.18573268234689105,0.10592131564962866,0.2,0.5796088344233931,-0.393876152076502,-67.95551218061371
3d_spatial_arm_ellip_n3_traj,ecomann,pred_FPrate,1.0,7,0.05579427275208072,0.04346110180693889,0.2,0.5796088344233931,-0.5238145616713124,-90.37380567058023
3d_spatial_arm_ellip_n3_traj,ecomann,pred_FPrate,1.5,7,0.04321425612333225,0.022907257082758193,0.2,0.5796088344233931,-0.5363945783000608,-92.54423784511106
3d_spatial_arm_ellip_n3_traj,ecomann,pred_FPrate,3.0,7,0.0507109057537534,0.03602226838786574,0.2,0.5796088344233931,-0.5288979286696397,-91.25083974881065
3d_spatial_arm_ellip_n3_traj,ecomann,train_seconds,0.2,7,11.15794897370506,1.74477849949845,0.2,11.15794897370506,0.0,0.0
3d_spatial_arm_ellip_n3_traj,ecomann,train_seconds,0.5,7,18.86037238412869,0.8920834605644488,0.2,11.15794897370506,7.702423410423631,69.030817658113
3d_spatial_arm_ellip_n3_traj,ecomann,train_seconds,0.75,7,32.222451151722844,1.7238293354132208,0.2,11.15794897370506,21.064502178017783,188.78471507316092
3d_spatial_arm_ellip_n3_traj,ecomann,train_seconds,1.0,7,47.779293115429546,0.7651580195350555,0.2,11.15794897370506,36.621344141724485,328.20856438783443
3d_spatial_arm_ellip_n3_traj,ecomann,train_seconds,1.5,7,81.59760073115883,2.852660137810955,0.2,11.15794897370506,70.43965175745377,631.2956971164915
3d_spatial_arm_ellip_n3_traj,ecomann,train_seconds,3.0,7,583.4284364505687,1107.0965116703678,0.2,11.15794897370506,572.2704874768637,5128.814344154846
3d_spatial_arm_ellip_n3_traj,eikonal,proj_true_dist,0.2,7,0.3267717446599688,0.03610258297143373,0.2,0.3267717446599688,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,proj_true_dist,0.5,7,0.3135347621781485,0.009839726358706159,0.2,0.3267717446599688,-0.013236982481820259,-4.050834473339903
3d_spatial_arm_ellip_n3_traj,eikonal,proj_true_dist,0.75,7,0.3027909142630441,0.0029733882501903567,0.2,0.3267717446599688,-0.02398083039692467,-7.338709906475718
3d_spatial_arm_ellip_n3_traj,eikonal,proj_true_dist,1.0,7,0.298505357333592,0.003769060900096988,0.2,0.3267717446599688,-0.028266387326376763,-8.650193227627474
3d_spatial_arm_ellip_n3_traj,eikonal,proj_true_dist,1.5,7,0.29263536844934734,0.002159245174804543,0.2,0.3267717446599688,-0.03413637621062143,-10.446550770827193
3d_spatial_arm_ellip_n3_traj,eikonal,proj_true_dist,3.0,7,0.2883088503565107,0.0031087797929145273,0.2,0.3267717446599688,-0.03846289430345806,-11.770569191495326
3d_spatial_arm_ellip_n3_traj,eikonal,proj_manifold_dist,0.2,7,0.12721971635307586,0.022312191962301078,0.2,0.12721971635307586,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,proj_manifold_dist,0.5,7,0.04232769086956978,0.0057707930994425425,0.2,0.12721971635307586,-0.08489202548350608,-66.72867061572693
3d_spatial_arm_ellip_n3_traj,eikonal,proj_manifold_dist,0.75,7,0.0331583097577095,0.0023934433949753314,0.2,0.12721971635307586,-0.09406140659536635,-73.93618638035282
3d_spatial_arm_ellip_n3_traj,eikonal,proj_manifold_dist,1.0,7,0.03245056154472487,0.0035934274294123557,0.2,0.12721971635307586,-0.09476915480835099,-74.49250597708922
3d_spatial_arm_ellip_n3_traj,eikonal,proj_manifold_dist,1.5,7,0.02692799855555807,0.0011867761072568894,0.2,0.12721971635307586,-0.10029171779751779,-78.83347068560964
3d_spatial_arm_ellip_n3_traj,eikonal,proj_manifold_dist,3.0,7,0.021395005551832064,0.001375509121045126,0.2,0.12721971635307586,-0.1058247108012438,-83.18263382033174
3d_spatial_arm_ellip_n3_traj,eikonal,bidirectional_chamfer,0.2,7,0.19661173224449158,0.031338403369598145,0.2,0.19661173224449158,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,bidirectional_chamfer,0.5,7,0.057603176683187485,0.0075511951979413,0.2,0.19661173224449158,-0.1390085555613041,-70.70206542325943
3d_spatial_arm_ellip_n3_traj,eikonal,bidirectional_chamfer,0.75,7,0.04459267482161522,0.003619940200153636,0.2,0.19661173224449158,-0.15201905742287636,-77.31942325488332
3d_spatial_arm_ellip_n3_traj,eikonal,bidirectional_chamfer,1.0,7,0.04568017912762506,0.006548207866345022,0.2,0.19661173224449158,-0.1509315531168665,-76.7663004612458
3d_spatial_arm_ellip_n3_traj,eikonal,bidirectional_chamfer,1.5,7,0.03694077527948788,0.002121728411974766,0.2,0.19661173224449158,-0.1596709569650037,-81.21130674259504
3d_spatial_arm_ellip_n3_traj,eikonal,bidirectional_chamfer,3.0,7,0.02868436143866607,0.0015165704797943749,0.2,0.19661173224449158,-0.1679273708058255,-85.41065626592601
3d_spatial_arm_ellip_n3_traj,eikonal,pred_recall,0.2,7,0.2612485939257593,0.07277562958237674,0.2,0.2612485939257593,0.0,0.0
3d_spatial_arm_ellip_n3_traj,eikonal,pred_recall,0.5,7,0.6318897637795275,0.07325434822918296,0.2,0.2612485939257593,0.37064116985376827,141.87298170075348
3d_spatial_arm_ellip_n3_traj,eikonal,pred_recall,0.75,7,0.766538948256468,0.04217479829673966,0.2,0.2612485939257593,0.5052903543307087,193.41361679224974
