[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.066711 | on=0.016855 | off=0.016618
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.054679 | on=0.013835 | off=0.013615
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.064349 | on=0.014605 | off=0.016581
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.069810 | on=0.016970 | off=0.017613
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.057074 | on=0.014311 | off=0.014255
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.056632 | on=0.013796 | off=0.014279
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.068587 | on=0.011101 | off=0.019162
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.060248 | on=0.012161 | off=0.016029
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.044962 | on=0.012104 | off=0.010953
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.054139 | on=0.013918 | off=0.013407
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.055773 | on=0.010675 | off=0.015033
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.056144 | on=0.014794 | off=0.013783
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.051164 | on=0.012696 | off=0.012823
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.063642 | on=0.013159 | off=0.016828
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.066240 | on=0.011513 | off=0.018242
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.041115 | on=0.009817 | off=0.010433
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.057529 | on=0.008676 | off=0.016284
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.062913 | on=0.008407 | off=0.018169
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.054128 | on=0.007667 | off=0.015487
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.054676 | on=0.009612 | off=0.015021
