[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep= 750/2000 | lr=2.00e-04 | f1=0.0557 | |grad f1|=0.8046 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=2.00e-04 | f1=0.0591 | |grad f1|=0.8355 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=2.00e-04 | f1=0.0597 | |grad f1|=0.8382 | ortho=0.00000
[train] method=eikonal ep= 900/2000 | lr=2.00e-04 | f1=0.0605 | |grad f1|=0.8591 | ortho=0.00000
[train] method=eikonal ep= 950/2000 | lr=2.00e-04 | f1=0.0549 | |grad f1|=0.8334 | ortho=0.00000
[train] method=eikonal ep=1000/2000 | lr=2.00e-04 | f1=0.0555 | |grad f1|=0.8430 | ortho=0.00000
[train] method=eikonal ep=1050/2000 | lr=1.00e-04 | f1=0.0564 | |grad f1|=0.8649 | ortho=0.00000
[train] method=eikonal ep=1100/2000 | lr=1.00e-04 | f1=0.0544 | |grad f1|=0.8548 | ortho=0.00000
[train] method=eikonal ep=1150/2000 | lr=1.00e-04 | f1=0.0551 | |grad f1|=0.8641 | ortho=0.00000
[train] method=eikonal ep=1200/2000 | lr=1.00e-04 | f1=0.0539 | |grad f1|=0.8681 | ortho=0.00000
[train] method=eikonal ep=1250/2000 | lr=1.00e-04 | f1=0.0536 | |grad f1|=0.8702 | ortho=0.00000
[train] method=eikonal ep=1300/2000 | lr=1.00e-04 | f1=0.0539 | |grad f1|=0.8764 | ortho=0.00000
[train] method=eikonal ep=1350/2000 | lr=1.00e-04 | f1=0.0538 | |grad f1|=0.8843 | ortho=0.00000
[train] method=eikonal ep=1400/2000 | lr=1.00e-04 | f1=0.0530 | |grad f1|=0.8908 | ortho=0.00000
[train] method=eikonal ep=1450/2000 | lr=1.00e-04 | f1=0.0517 | |grad f1|=0.8842 | ortho=0.00000
[train] method=eikonal ep=1500/2000 | lr=1.00e-04 | f1=0.0509 | |grad f1|=0.8876 | ortho=0.00000
[train] method=eikonal ep=1550/2000 | lr=1.00e-04 | f1=0.0498 | |grad f1|=0.8930 | ortho=0.00000
