[run] method=delta dataset=3d_0z_2d_discontinuous seed=173
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.206935 | on=0.052999 | off=0.051312
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.138304 | on=0.037311 | off=0.033664
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.036027 | on=0.015228 | off=0.006933
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.050468 | on=0.009309 | off=0.013720
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.052145 | on=0.007417 | off=0.014909
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.034024 | on=0.009778 | off=0.008082
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.036550 | on=0.011013 | off=0.008512
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.034913 | on=0.009478 | off=0.008478
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.030651 | on=0.007060 | off=0.007864
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.022910 | on=0.007880 | off=0.005010
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.022720 | on=0.008824 | off=0.004632
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.022585 | on=0.009264 | off=0.004440
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.015850 | on=0.006635 | off=0.003072
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.016927 | on=0.006304 | off=0.003541
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.013608 | on=0.004766 | off=0.002947
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.013415 | on=0.003984 | off=0.003144
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.010989 | on=0.003598 | off=0.002464
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.010196 | on=0.003683 | off=0.002171
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.009249 | on=0.002843 | off=0.002135
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.008431 | on=0.003123 | off=0.001769
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.007378 | on=0.002838 | off=0.001513
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.007513 | on=0.002010 | off=0.001834
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.007994 | on=0.002777 | off=0.001739
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.008362 | on=0.002445 | off=0.001972
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.007373 | on=0.002731 | off=0.001547
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.007058 | on=0.001938 | off=0.001707
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.007111 | on=0.001682 | off=0.001810
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.007387 | on=0.001830 | off=0.001852
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.005426 | on=0.001430 | off=0.001332
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.005836 | on=0.001588 | off=0.001416
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.004995 | on=0.002094 | off=0.000967
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.004688 | on=0.001566 | off=0.001041
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.004257 | on=0.001468 | off=0.000930
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.004423 | on=0.001297 | off=0.001042
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003440 | on=0.001338 | off=0.000701
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.003046 | on=0.001119 | off=0.000642
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.002859 | on=0.001060 | off=0.000600
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.002653 | on=0.001280 | off=0.000457
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.002448 | on=0.000628 | off=0.000607
[eval] 3d_0z_2d_figure_eight | proj_dist=0.238130 | pred_recall=0.864198 | pred_FPrate=0.426650 | chamfer=0.260034 | gt->learned=0.021697 | learned->gt=0.238337 | space=data_space
[done] method=delta dataset=3d_0z_2d_figure_eight seed=173 proj_dist=0.238130 recall=0.864198 FPrate=0.426650
