[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=2600/3000 | lr=5.00e-05 | f1=0.1340 | |grad f1|=0.6543 | ortho=0.00000
[train] method=eikonal ep=2650/3000 | lr=5.00e-05 | f1=0.1339 | |grad f1|=0.6561 | ortho=0.00000
[train] method=eikonal ep=2700/3000 | lr=5.00e-05 | f1=0.1341 | |grad f1|=0.6556 | ortho=0.00000
[train] method=eikonal ep=2750/3000 | lr=5.00e-05 | f1=0.1333 | |grad f1|=0.6527 | ortho=0.00000
[train] method=eikonal ep=2800/3000 | lr=5.00e-05 | f1=0.1334 | |grad f1|=0.6586 | ortho=0.00000
[train] method=eikonal ep=2850/3000 | lr=5.00e-05 | f1=0.1334 | |grad f1|=0.6536 | ortho=0.00000
[train] method=eikonal ep=2900/3000 | lr=5.00e-05 | f1=0.1347 | |grad f1|=0.6579 | ortho=0.00000
[train] method=eikonal ep=2950/3000 | lr=5.00e-05 | f1=0.1328 | |grad f1|=0.6528 | ortho=0.00000
[train] method=eikonal ep=3000/3000 | lr=5.00e-05 | f1=0.1337 | |grad f1|=0.6559 | ortho=0.00000
[eval] 2d_figure_eight | proj_dist=0.134541 | pred_recall=0.887789 | pred_FPrate=0.727393 | chamfer=0.229399 | gt->learned=0.094564 | learned->gt=0.134834 | space=data_space
[done] method=eikonal dataset=2d_figure_eight seed=173 proj_dist=0.134541 recall=0.887789 FPrate=0.727393
[run] method=eikonal dataset=2d_looped_spiro seed=173
[train] method=eikonal ep=   1/2000 | lr=2.00e-04 | f1=0.0470 | |grad f1|=0.0244 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=2.00e-04 | f1=0.1135 | |grad f1|=0.1515 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=2.00e-04 | f1=0.1067 | |grad f1|=0.1555 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=2.00e-04 | f1=0.0776 | |grad f1|=0.2375 | ortho=0.00000
