dataset,method,n,mean,median,std,min,max
3d_twosphere_traj,ecomann,7,0.2537556844098227,0.2487325370311737,0.02204427136307509,0.22458180785179138,0.29585275053977966
3d_vz_2d_ellipse,delta,7,0.2230421624013356,0.18928316235542297,0.06515558911441624,0.17774593830108643,0.36188429594039917
3d_vz_2d_ellipse,eikonal,7,0.02505036203988961,0.009724833071231842,0.038278522513773394,0.008322274312376976,0.11879394948482513
3d_vz_2d_ellipse,vae,7,0.14029185473918915,0.13588961958885193,0.05667907176632312,0.06210535764694214,0.2280745506286621
3d_vz_2d_ellipse,ecomann,7,0.21365161665848323,0.2225397229194641,0.048052175870717806,0.12850716710090637,0.2710508704185486
3d_torus_surface_traj,delta,7,0.15369672541107451,0.1518472135066986,0.07737418952602432,0.0643780380487442,0.2803821563720703
3d_torus_surface_traj,eikonal,7,0.09169096286807742,0.059505946934223175,0.05590784279187397,0.05742480978369713,0.21380329132080078
3d_torus_surface_traj,vae,7,0.30957737139293123,0.321419894695282,0.02817999614395833,0.24737200140953064,0.3366682827472687
3d_torus_surface_traj,ecomann,7,0.43416889224733624,0.4435872733592987,0.08906758842139205,0.2999023497104645,0.5602108836174011
6d_spatial_arm_up_n6_py,delta,7,0.4326848941189902,0.41254952549934387,0.06299946170734295,0.35153505206108093,0.5302295684814453
6d_spatial_arm_up_n6_py,eikonal,7,0.26482280237334116,0.20419642329216003,0.1234134811398516,0.1769745796918869,0.5486996173858643
6d_spatial_arm_up_n6_py,vae,7,0.4310168666499002,0.4221192002296448,0.035050877128650855,0.3866165578365326,0.5094925165176392
6d_spatial_arm_up_n6_py,ecomann,7,0.804044416972569,0.8387326002120972,0.10755569219780488,0.6416854858398438,0.9936538338661194
6d_workspace_sine_surface_pose_traj,delta,7,0.0996877636228289,0.09851090610027313,0.0072150223334430785,0.08988389372825623,0.11130012571811676
6d_workspace_sine_surface_pose_traj,eikonal,7,0.05893404143197196,0.05871918052434921,0.0020264567481149626,0.055368438363075256,0.06124497577548027
6d_workspace_sine_surface_pose_traj,vae,7,0.08670132075037275,0.08514680713415146,0.007734392715747252,0.07565799355506897,0.10020291805267334
6d_workspace_sine_surface_pose_traj,ecomann,7,0.24103784561157227,0.24285821616649628,0.018546580185848344,0.20256930589675903,0.26841527223587036
