[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.007310 | on=0.000321 | off=0.023297
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.006762 | on=0.000298 | off=0.021545
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.008600 | on=0.000072 | off=0.028427
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.010896 | on=0.000033 | off=0.036209
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.009645 | on=0.000138 | off=0.031690
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.009347 | on=0.000105 | off=0.030804
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.009756 | on=0.000054 | off=0.032340
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.006588 | on=0.000112 | off=0.021588
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.009215 | on=0.000048 | off=0.030557
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.008450 | on=0.000110 | off=0.027802
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.007404 | on=0.000133 | off=0.024238
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.006358 | on=0.000021 | off=0.021124
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.007447 | on=0.000030 | off=0.024725
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.004893 | on=0.000138 | off=0.015851
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.007459 | on=0.000101 | off=0.024527
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.005507 | on=0.000057 | off=0.018170
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.007072 | on=0.000043 | off=0.023428
[eval] 3d_spiral | proj_dist=0.421979 | pred_recall=0.444444 | pred_FPrate=0.014958 | chamfer=0.455802 | gt->learned=0.033197 | learned->gt=0.422605 | space=data_space
[done] method=delta dataset=3d_spiral seed=173 proj_dist=0.421979 recall=0.444444 FPrate=0.014958
[run] method=delta dataset=3d_torus_surface seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.036990 | on=0.004486 | off=0.108346
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.022303 | on=0.006038 | off=0.054214
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.017947 | on=0.003927 | off=0.046733
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.007066 | on=0.001401 | off=0.018881
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.003181 | on=0.000326 | off=0.009518
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.002841 | on=0.000170 | off=0.008905
