[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.101176 | on=0.019046 | off=0.082130
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.094501 | on=0.021225 | off=0.073276
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.081745 | on=0.023593 | off=0.058152
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.064722 | on=0.013943 | off=0.050779
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.027193 | on=0.004725 | off=0.022468
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.016046 | on=0.002831 | off=0.013215
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.008574 | on=0.002261 | off=0.006313
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.006062 | on=0.002101 | off=0.003961
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.006990 | on=0.001252 | off=0.005737
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.004475 | on=0.000942 | off=0.003533
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.005503 | on=0.000984 | off=0.004519
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.006164 | on=0.000893 | off=0.005271
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.004244 | on=0.000962 | off=0.003282
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.002340 | on=0.000877 | off=0.001462
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.002772 | on=0.000666 | off=0.002106
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.003256 | on=0.000718 | off=0.002537
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.002461 | on=0.000738 | off=0.001723
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.002906 | on=0.000702 | off=0.002204
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.001680 | on=0.000597 | off=0.001083
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.001817 | on=0.000490 | off=0.001328
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.002005 | on=0.000546 | off=0.001459
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.002003 | on=0.000595 | off=0.001408
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.001787 | on=0.000495 | off=0.001292
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.002124 | on=0.000521 | off=0.001602
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.001795 | on=0.000504 | off=0.001291
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.001238 | on=0.000384 | off=0.000854
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.002426 | on=0.000335 | off=0.002091
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.002287 | on=0.000421 | off=0.001866
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.001021 | on=0.000310 | off=0.000712
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.001393 | on=0.000432 | off=0.000962
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.001063 | on=0.000283 | off=0.000779
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.001246 | on=0.000376 | off=0.000869
[eval] 2d_planar_arm_line_n2 | proj_dist=0.035656 | pred_recall=0.470588 | pred_FPrate=0.004293 | chamfer=0.042311 | gt->learned=0.005969 | learned->gt=0.036342 | space=workspace
/home/baiyu/PycharmProjects/equality_manofld/core/planner.py:839: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
saved: /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/delta_all_2d/delta/2d_planar_arm_line_n2_delta_planning_demo.png
[done] method=delta dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.035656 recall=0.470588 FPrate=0.004293
[run] method=delta dataset=2d_sparse_sine seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.113833 | on=0.002909 | off=0.110924
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.103790 | on=0.021932 | off=0.081858
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.090456 | on=0.018508 | off=0.071947
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.101934 | on=0.019219 | off=0.082715
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.072550 | on=0.019265 | off=0.053285
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.067053 | on=0.017167 | off=0.049887
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.074239 | on=0.018015 | off=0.056224
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.061011 | on=0.011160 | off=0.049851
