method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
eikonal,2d_planar_arm_line_n2,173,0.04599408060312271,0.0294543094933033,0.0294543094933033,,,0.00835321843624115,0.020523052662611008,0.03764086216688156,0.13761408627033234,1024.0,4096.0,0.008585858585858586,0.00025939021725207567,0.68359375,0.79638671875,0.037101633846759796,19.05712890625,0.3576042056083679,0.014324035495519638,5.199775736999982
eikonal,2d_sparse_sine,173,0.06275062263011932,0.02836007811129093,0.02836007811129093,,,0.03163786605000496,0.08897191286087036,0.031112752854824066,0.05853485316038132,1024.0,4096.0,0.001893939393939394,0.00018490810180082917,0.961181640625,0.642822265625,0.029870808124542236,19.0,0.07196647673845291,0.0006990471156314015,2.7235797409998668
eikonal,3d_planar_arm_line_n3_traj,173,0.3132304549217224,0.032142311334609985,0.032142311334609985,,,0.09579524397850037,0.1809275597333908,0.21743522584438324,0.47865015268325806,1024.0,4096.0,0.021980798383021728,0.00021060692961327732,0.421142578125,0.828857421875,0.13853591680526733,19.0,1.1888737678527832,0.034363217651844025,68.49845317900008
eikonal,3d_spatial_arm_circle_n3,173,0.009967518039047718,0.007781432941555977,0.007781432941555977,,,0.003155807266011834,0.006114770192652941,0.0068117110058665276,0.012902590446174145,1024.0,4096.0,0.0,1.147447619587183e-05,1.0,0.912353515625,0.004986735992133617,19.0,0.05543607100844383,0.0007486937684006989,23.094768255999952
eikonal,3d_twosphere_traj,173,0.11341044306755066,0.008937722072005272,0.008937722072005272,,,0.039287667721509933,0.07559697329998016,0.07412277162075043,0.14079001545906067,1024.0,4096.0,0.008040201005025126,1.7887385183712468e-05,0.55322265625,0.8037109375,0.03741329908370972,19.0,0.041296884417533875,0.00043752213241532445,16.266863231000116
eikonal,3d_vz_2d_ellipse,173,0.023769984021782875,0.008600138127803802,0.008600138127803802,,,0.0121614970266819,0.03469719737768173,0.011608486995100975,0.03270518034696579,1024.0,4096.0,0.0,1.8611675841384567e-05,0.957763671875,0.582763671875,0.009724833071231842,19.0,0.01622353307902813,0.0005658891750499606,6.66652777399986
eikonal,3d_torus_surface_traj,173,0.17093032598495483,0.011096023954451084,0.011096023954451084,,,0.06383566558361053,0.139069065451622,0.1070946678519249,0.2103540599346161,1024.0,4096.0,0.007639419404125287,2.0781993953278288e-05,0.54248046875,0.764404296875,0.058735139667987823,19.0,0.06077034771442413,0.0006139633478596807,16.31045562999998
eikonal,6d_spatial_arm_up_n6_py,173,0.27448970079421997,0.04474098980426788,0.04474098980426788,,,0.060527510941028595,0.11108323931694031,0.21396219730377197,1.2048989534378052,1024.0,4096.0,0.001953125,0.00048095727106556296,0.00244140625,0.8974609375,0.20139560103416443,29.61181640625,0.3716123700141907,0.08507949113845825,69.13425911800005
eikonal,6d_workspace_sine_surface_pose_traj,173,0.31896936893463135,0.01683100499212742,0.01683100499212742,,,0.04937634617090225,0.09417454898357391,0.2695930302143097,1.0288715362548828,1024.0,4096.0,0.0,6.18177218711935e-05,0.6103515625,0.67578125,0.055899135768413544,19.0,0.3237108588218689,0.0025221570394933224,83.68855429699988
vae,2d_ellipse,173,0.16534802317619324,0.13006487488746643,0.13006487488746643,0.1867000162601471,0.11381299048662186,0.07564780861139297,0.3048298954963684,0.08970022201538086,0.37422239780426025,1024.0,4096.0,0.05310199789695058,0.003934312611818314,0.604736328125,0.62548828125,0.08915401995182037,1.0,0.5262460112571716,0.21352624893188477,1.1718999300001087
vae,2d_looped_spiro,173,0.23355665802955627,0.2539316713809967,0.2539316713809967,0.1965755820274353,0.10663159936666489,0.09676221013069153,0.214577317237854,0.13679444789886475,0.4598728120326996,1024.0,4096.0,0.14013749338974088,0.022698352113366127,0.274658203125,0.760498046875,0.13621628284454346,1.0,0.7173035740852356,0.17636267840862274,1.0729040179999174
vae,2d_planar_arm_line_n2,173,0.2756626605987549,0.30178219079971313,0.30178219079971313,0.5437189936637878,0.5074449181556702,0.036485832184553146,0.12583567202091217,0.23917683959007263,1.3925323486328125,1024.0,4096.0,0.1782828282828283,0.018286943435668945,0.21826171875,0.80517578125,0.23907923698425293,1.0,0.6499834656715393,0.22839093208312988,1.1589887590002945
vae,2d_sparse_sine,173,0.14479734003543854,0.06527300179004669,0.06527300179004669,0.11232723295688629,0.024646010249853134,0.09054190665483475,0.4845139682292938,0.05425543338060379,0.26790034770965576,1024.0,4096.0,0.00487012987012987,0.0012694660108536482,0.861328125,0.54296875,0.053065426647663116,1.0,0.31854313611984253,0.05892239511013031,1.1558185069998217
vae,3d_planar_arm_line_n3_traj,173,0.41730958223342896,0.20968499779701233,0.20968499779701233,0.4324946999549866,0.2920931875705719,0.1269022673368454,0.27300432324409485,0.29040732979774475,0.8985720872879028,1024.0,4096.0,0.09120768064679131,0.011187992990016937,0.294677734375,0.77685546875,0.2298503816127777,1.0,1.3287652730941772,0.2414838671684265,16.026656656999876
