method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,2d_looped_spiro,173,0.09292229264974594,0.028628671541810036,0.028628671541810036,,,0.017389928922057152,0.04064212739467621,0.07553236186504364,0.4301871955394745,1024.0,4096.0,0.02088841882601798,0.080561563372612,0.00016659912944305688,0.694980694980695,0.5732484076433121,0.07445989549160004,29.368896484375,0.10616287589073181,0.0007126379059627652
delta,2d_looped_spiro,271,0.02657061256468296,0.027994124218821526,0.027994124218821526,,,0.012947610579431057,0.03285371512174606,0.013623001985251904,0.03155338764190674,1024.0,4096.0,0.0005257623554153522,0.016887225210666656,0.00014657521387562156,0.9871794871794872,0.5273972602739726,0.011793532408773899,29.0,0.053443606942892075,8.017203072085977e-05
delta,2d_looped_spiro,509,0.09639197587966919,0.040753208100795746,0.040753208100795746,,,0.024881761521100998,0.0841437429189682,0.0715102106332779,0.40630483627319336,1024.0,4096.0,0.04084321475625823,0.0926576778292656,0.00036186567740514874,0.5706371191135734,0.6843853820598007,0.07036422193050385,29.035400390625,0.10665205121040344,0.0011729293037205935
delta,2d_looped_spiro,877,0.025011727586388588,0.0244255643337965,0.0244255643337965,,,0.012112969532608986,0.03371594101190567,0.012898758053779602,0.03045281022787094,1024.0,4096.0,0.0002626050420168067,0.016665026545524597,0.00010803753684740514,0.9928571428571429,0.4826388888888889,0.011103671975433826,29.129638671875,0.06130438670516014,0.0003354985383339226
delta,2d_looped_spiro,1123,0.08818379044532776,0.04144251346588135,0.04144251346588135,,,0.018705831840634346,0.04943478852510452,0.06947796046733856,0.39479774236679077,1024.0,4096.0,0.03543307086614173,0.0867265984416008,0.0002442084951326251,0.6131805157593123,0.7482517482517482,0.06832937896251678,29.1865234375,0.10067012161016464,0.0009527889778837562
delta,2d_planar_arm_line_n2,173,0.04231102019548416,0.022250156849622726,0.022250156849622726,,,0.0059689683839678764,0.01745658554136753,0.03634205088019371,0.2221696972846985,1024.0,4096.0,0.004292929292929293,0.01830696128308773,0.00015574300778098404,0.7901234567901234,0.47058823529411764,0.035655904561281204,29.034423828125,0.35319116711616516,0.01675933226943016
delta,2d_planar_arm_line_n2,271,0.03610563278198242,0.02220636047422886,0.02220636047422886,,,0.00733180670067668,0.02080032229423523,0.028773827478289604,0.11178246140480042,1024.0,4096.0,0.0032778618255168935,0.021578438580036163,0.0002674201095942408,0.8194444444444444,0.45384615384615384,0.02828620746731758,29.000244140625,0.37443476915359497,0.006892449222505093
delta,2d_planar_arm_line_n2,509,0.30897629261016846,0.06285087019205093,0.06285087019205093,,,0.007905063219368458,0.02335927076637745,0.3010712265968323,1.6446787118911743,1024.0,4096.0,0.09132075471698113,0.228303924202919,0.0007554391631856561,0.2276595744680851,0.8842975206611571,0.30080094933509827,30.9990234375,0.5096027255058289,0.022983942180871964
delta,2d_planar_arm_line_n2,877,0.04492217302322388,0.044520143419504166,0.044520143419504166,,,0.008309008553624153,0.017895838245749474,0.03661316633224487,0.11652910709381104,1024.0,4096.0,0.017362858580775038,0.03741099685430527,0.0003439474676270038,0.5740740740740741,0.7622950819672131,0.03615149110555649,29.017333984375,0.3553112745285034,0.013549981638789177
delta,2d_planar_arm_line_n2,1123,0.07891789823770523,0.054582126438617706,0.054582126438617706,,,0.009150246158242226,0.024966754019260406,0.06976765394210815,0.22723981738090515,1024.0,4096.0,0.055220883534136546,0.06285347044467926,0.0008831757586449385,0.2903225806451613,0.8035714285714286,0.06955369561910629,42.103271484375,0.39349472522735596,0.04588373750448227
