[run] method=eikonal dataset=2d_ellipse seed=173
[train] method=eikonal ep=1650/2000 | lr=1.00e-04 | f1=0.0932 | |grad f1|=0.7937 | ortho=0.00000
[train] method=eikonal ep=1700/2000 | lr=1.00e-04 | f1=0.0864 | |grad f1|=0.8093 | ortho=0.00000
[train] method=eikonal ep=1750/2000 | lr=1.00e-04 | f1=0.0798 | |grad f1|=0.8238 | ortho=0.00000
[train] method=eikonal ep=1800/2000 | lr=1.00e-04 | f1=0.0739 | |grad f1|=0.8413 | ortho=0.00000
[train] method=eikonal ep=1850/2000 | lr=1.00e-04 | f1=0.0677 | |grad f1|=0.8561 | ortho=0.00000
[train] method=eikonal ep=1900/2000 | lr=1.00e-04 | f1=0.0617 | |grad f1|=0.8675 | ortho=0.00000
[train] method=eikonal ep=1950/2000 | lr=1.00e-04 | f1=0.0571 | |grad f1|=0.8799 | ortho=0.00000
[train] method=eikonal ep=2000/2000 | lr=1.00e-04 | f1=0.0535 | |grad f1|=0.8899 | ortho=0.00000
[eval] 2d_looped_spiro | proj_dist=0.079038 | pred_recall=0.888535 | pred_FPrate=0.148599 | chamfer=0.143227 | gt->learned=0.063703 | learned->gt=0.079524 | space=data_space
[done] method=eikonal dataset=2d_looped_spiro seed=173 proj_dist=0.079038 recall=0.888535 FPrate=0.148599
[run] method=eikonal dataset=2d_planar_arm_line_n2 seed=173
[train] method=eikonal ep=   1/2000 | lr=1.50e-04 | f1=0.1560 | |grad f1|=0.0860 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=1.50e-04 | f1=0.0446 | |grad f1|=0.0688 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=1.50e-04 | f1=0.0626 | |grad f1|=0.1160 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=1.50e-04 | f1=0.0807 | |grad f1|=0.1634 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=1.50e-04 | f1=0.0935 | |grad f1|=0.2045 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=1.50e-04 | f1=0.0992 | |grad f1|=0.2368 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=1.50e-04 | f1=0.1001 | |grad f1|=0.2643 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=1.50e-04 | f1=0.0991 | |grad f1|=0.2939 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=1.50e-04 | f1=0.0972 | |grad f1|=0.3311 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=1.50e-04 | f1=0.0919 | |grad f1|=0.3768 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=1.50e-04 | f1=0.0851 | |grad f1|=0.4323 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=1.50e-04 | f1=0.0808 | |grad f1|=0.4936 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=1.50e-04 | f1=0.0782 | |grad f1|=0.5555 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=1.50e-04 | f1=0.0784 | |grad f1|=0.6164 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=1.50e-04 | f1=0.0787 | |grad f1|=0.6687 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=1.50e-04 | f1=0.0790 | |grad f1|=0.7117 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=1.50e-04 | f1=0.0791 | |grad f1|=0.7437 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=1.50e-04 | f1=0.0785 | |grad f1|=0.7692 | ortho=0.00000
[train] method=eikonal ep= 900/2000 | lr=1.50e-04 | f1=0.0775 | |grad f1|=0.7859 | ortho=0.00000
[train] method=eikonal ep= 950/2000 | lr=1.50e-04 | f1=0.0758 | |grad f1|=0.8002 | ortho=0.00000
[train] method=eikonal ep=1000/2000 | lr=1.50e-04 | f1=0.0743 | |grad f1|=0.8128 | ortho=0.00000
[train] method=eikonal ep=1050/2000 | lr=7.50e-05 | f1=0.0738 | |grad f1|=0.8189 | ortho=0.00000
[train] method=eikonal ep=1100/2000 | lr=7.50e-05 | f1=0.0728 | |grad f1|=0.8237 | ortho=0.00000
[train] method=eikonal ep=1150/2000 | lr=7.50e-05 | f1=0.0721 | |grad f1|=0.8285 | ortho=0.00000
[train] method=eikonal ep=1200/2000 | lr=7.50e-05 | f1=0.0714 | |grad f1|=0.8345 | ortho=0.00000
[train] method=eikonal ep=1250/2000 | lr=7.50e-05 | f1=0.0707 | |grad f1|=0.8399 | ortho=0.00000
[train] method=eikonal ep=1300/2000 | lr=7.50e-05 | f1=0.0696 | |grad f1|=0.8435 | ortho=0.00000
[train] method=eikonal ep=1350/2000 | lr=7.50e-05 | f1=0.0688 | |grad f1|=0.8473 | ortho=0.00000
[train] method=eikonal ep=1400/2000 | lr=7.50e-05 | f1=0.0678 | |grad f1|=0.8525 | ortho=0.00000
[train] method=eikonal ep=1450/2000 | lr=7.50e-05 | f1=0.0673 | |grad f1|=0.8594 | ortho=0.00000
[train] method=eikonal ep=1500/2000 | lr=7.50e-05 | f1=0.0663 | |grad f1|=0.8622 | ortho=0.00000
[train] method=eikonal ep=1550/2000 | lr=7.50e-05 | f1=0.0651 | |grad f1|=0.8670 | ortho=0.00000
[train] method=eikonal ep=1600/2000 | lr=7.50e-05 | f1=0.0642 | |grad f1|=0.8720 | ortho=0.00000
[train] method=eikonal ep=1650/2000 | lr=7.50e-05 | f1=0.0631 | |grad f1|=0.8778 | ortho=0.00000
[train] method=eikonal ep=1700/2000 | lr=7.50e-05 | f1=0.0616 | |grad f1|=0.8807 | ortho=0.00000
[train] method=eikonal ep=1750/2000 | lr=7.50e-05 | f1=0.0607 | |grad f1|=0.8845 | ortho=0.00000
[train] method=eikonal ep=1800/2000 | lr=7.50e-05 | f1=0.0592 | |grad f1|=0.8881 | ortho=0.00000
[train] method=eikonal ep=1850/2000 | lr=7.50e-05 | f1=0.0579 | |grad f1|=0.8914 | ortho=0.00000
[train] method=eikonal ep=1900/2000 | lr=7.50e-05 | f1=0.0562 | |grad f1|=0.8956 | ortho=0.00000
[train] method=eikonal ep=1950/2000 | lr=7.50e-05 | f1=0.0548 | |grad f1|=0.9008 | ortho=0.00000
[train] method=eikonal ep=2000/2000 | lr=7.50e-05 | f1=0.0531 | |grad f1|=0.9045 | ortho=0.00000
[eval] 2d_planar_arm_line_n2 | proj_dist=0.350726 | pred_recall=0.671533 | pred_FPrate=0.124779 | chamfer=0.383187 | gt->learned=0.032273 | learned->gt=0.350914 | space=workspace
saved: /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/eikonal_all_2d/eikonal/2d_planar_arm_line_n2_on_eikonal_planning_demo.png
[done] method=eikonal dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.350726 recall=0.671533 FPrate=0.124779
[run] method=eikonal dataset=2d_sparse_sine seed=173
[train] method=eikonal ep=   1/1200 | lr=2.00e-04 | f1=0.0569 | |grad f1|=0.0928 | ortho=0.00000
[train] method=eikonal ep=  50/1200 | lr=2.00e-04 | f1=0.1016 | |grad f1|=0.3013 | ortho=0.00000
[train] method=eikonal ep= 100/1200 | lr=2.00e-04 | f1=0.1663 | |grad f1|=0.5185 | ortho=0.00000
[train] method=eikonal ep= 150/1200 | lr=2.00e-04 | f1=0.1882 | |grad f1|=0.6278 | ortho=0.00000
[train] method=eikonal ep= 200/1200 | lr=2.00e-04 | f1=0.1785 | |grad f1|=0.6660 | ortho=0.00000
[train] method=eikonal ep= 250/1200 | lr=2.00e-04 | f1=0.1594 | |grad f1|=0.7061 | ortho=0.00000
[train] method=eikonal ep= 300/1200 | lr=2.00e-04 | f1=0.1288 | |grad f1|=0.7617 | ortho=0.00000
[train] method=eikonal ep= 350/1200 | lr=2.00e-04 | f1=0.0886 | |grad f1|=0.8353 | ortho=0.00000
[train] method=eikonal ep= 400/1200 | lr=2.00e-04 | f1=0.0509 | |grad f1|=0.9124 | ortho=0.00000
[train] method=eikonal ep= 450/1200 | lr=2.00e-04 | f1=0.0311 | |grad f1|=0.9584 | ortho=0.00000
[train] method=eikonal ep= 500/1200 | lr=2.00e-04 | f1=0.0260 | |grad f1|=0.9812 | ortho=0.00000
[train] method=eikonal ep= 550/1200 | lr=2.00e-04 | f1=0.0227 | |grad f1|=0.9875 | ortho=0.00000
[train] method=eikonal ep= 600/1200 | lr=2.00e-04 | f1=0.0204 | |grad f1|=0.9916 | ortho=0.00000
[train] method=eikonal ep= 650/1200 | lr=2.00e-04 | f1=0.0193 | |grad f1|=0.9945 | ortho=0.00000
[train] method=eikonal ep= 700/1200 | lr=2.00e-04 | f1=0.0189 | |grad f1|=0.9972 | ortho=0.00000
[train] method=eikonal ep= 750/1200 | lr=2.00e-04 | f1=0.0191 | |grad f1|=1.0038 | ortho=0.00000
[train] method=eikonal ep= 800/1200 | lr=2.00e-04 | f1=0.0182 | |grad f1|=1.0014 | ortho=0.00000
[train] method=eikonal ep= 850/1200 | lr=2.00e-04 | f1=0.0179 | |grad f1|=1.0019 | ortho=0.00000
[train] method=eikonal ep= 900/1200 | lr=2.00e-04 | f1=0.0182 | |grad f1|=1.0015 | ortho=0.00000
[train] method=eikonal ep= 950/1200 | lr=2.00e-04 | f1=0.0185 | |grad f1|=1.0053 | ortho=0.00000
[train] method=eikonal ep=1000/1200 | lr=2.00e-04 | f1=0.0174 | |grad f1|=1.0027 | ortho=0.00000
[train] method=eikonal ep=1050/1200 | lr=1.00e-04 | f1=0.0174 | |grad f1|=1.0008 | ortho=0.00000
[train] method=eikonal ep=1100/1200 | lr=1.00e-04 | f1=0.0176 | |grad f1|=1.0026 | ortho=0.00000
[train] method=eikonal ep=1150/1200 | lr=1.00e-04 | f1=0.0178 | |grad f1|=1.0046 | ortho=0.00000
[train] method=eikonal ep=1200/1200 | lr=1.00e-04 | f1=0.0176 | |grad f1|=1.0026 | ortho=0.00000
[eval] 2d_sparse_sine | proj_dist=0.033843 | pred_recall=0.425000 | pred_FPrate=0.002706 | chamfer=0.079835 | gt->learned=0.044785 | learned->gt=0.035050 | space=data_space
[done] method=eikonal dataset=2d_sparse_sine seed=173 proj_dist=0.033843 recall=0.425000 FPrate=0.002706
[run] method=eikonal dataset=2d_square seed=173
[train] method=eikonal ep=   1/2000 | lr=2.00e-04 | f1=0.0656 | |grad f1|=0.0890 | ortho=0.00000
[train] method=eikonal ep=  50/2000 | lr=2.00e-04 | f1=0.1155 | |grad f1|=0.1618 | ortho=0.00000
[train] method=eikonal ep= 100/2000 | lr=2.00e-04 | f1=0.1076 | |grad f1|=0.1718 | ortho=0.00000
[train] method=eikonal ep= 150/2000 | lr=2.00e-04 | f1=0.0765 | |grad f1|=0.2123 | ortho=0.00000
[train] method=eikonal ep= 200/2000 | lr=2.00e-04 | f1=0.0555 | |grad f1|=0.4585 | ortho=0.00000
[train] method=eikonal ep= 250/2000 | lr=2.00e-04 | f1=0.0792 | |grad f1|=0.7028 | ortho=0.00000
[train] method=eikonal ep= 300/2000 | lr=2.00e-04 | f1=0.0903 | |grad f1|=0.8141 | ortho=0.00000
[train] method=eikonal ep= 350/2000 | lr=2.00e-04 | f1=0.0927 | |grad f1|=0.8343 | ortho=0.00000
[train] method=eikonal ep= 400/2000 | lr=2.00e-04 | f1=0.0930 | |grad f1|=0.8373 | ortho=0.00000
[train] method=eikonal ep= 450/2000 | lr=2.00e-04 | f1=0.0927 | |grad f1|=0.8380 | ortho=0.00000
[train] method=eikonal ep= 500/2000 | lr=2.00e-04 | f1=0.0926 | |grad f1|=0.8387 | ortho=0.00000
[train] method=eikonal ep= 550/2000 | lr=2.00e-04 | f1=0.0931 | |grad f1|=0.8454 | ortho=0.00000
[train] method=eikonal ep= 600/2000 | lr=2.00e-04 | f1=0.0927 | |grad f1|=0.8468 | ortho=0.00000
[train] method=eikonal ep= 650/2000 | lr=2.00e-04 | f1=0.0926 | |grad f1|=0.8478 | ortho=0.00000
[train] method=eikonal ep= 700/2000 | lr=2.00e-04 | f1=0.0926 | |grad f1|=0.8518 | ortho=0.00000
[train] method=eikonal ep= 750/2000 | lr=2.00e-04 | f1=0.0924 | |grad f1|=0.8535 | ortho=0.00000
[train] method=eikonal ep= 800/2000 | lr=2.00e-04 | f1=0.0922 | |grad f1|=0.8580 | ortho=0.00000
[train] method=eikonal ep= 850/2000 | lr=2.00e-04 | f1=0.0916 | |grad f1|=0.8599 | ortho=0.00000
[train] method=eikonal ep= 900/2000 | lr=2.00e-04 | f1=0.0910 | |grad f1|=0.8631 | ortho=0.00000
