dataset,method,n,mean,median,std,min,max
3d_spatial_arm_ellip_n3_traj,eikonal,7,0.013229617582900184,0.01163521409034729,0.003200876177375095,0.009436126798391342,0.019170120358467102
3d_spatial_arm_ellip_n3_traj,vae,7,0.03146241844764778,0.03093172051012516,0.006364063284452297,0.023607216775417328,0.044209644198417664
3d_spatial_arm_ellip_n3_traj,ecomann,7,0.11792707922203201,0.05554407089948654,0.14506110398131425,0.052859123796224594,0.4729202687740326
3d_twosphere,delta,7,0.042633199266025,0.042398903518915176,0.001262439538923692,0.04042157158255577,0.044335950165987015
3d_twosphere,eikonal,7,0.03874318142022405,0.038670748472213745,0.0007070604770003447,0.037816643714904785,0.03989149257540703
3d_twosphere,vae,7,0.05172786223036902,0.049880143254995346,0.006550615360210773,0.046121448278427124,0.06605879962444305
3d_twosphere,ecomann,7,0.27916998735495974,0.29636260867118835,0.03146107614213761,0.21957527101039886,0.31521397829055786
3d_twosphere_traj,delta,7,0.046999411923544746,0.04554906114935875,0.0025710388078944223,0.044649526476860046,0.051386743783950806
3d_twosphere_traj,eikonal,7,0.04122432108436312,0.04075268283486366,0.0008730783926282009,0.040599092841148376,0.043197549879550934
3d_twosphere_traj,vae,7,0.08354276844433375,0.07304215431213379,0.017803458950742885,0.06659535318613052,0.11785272508859634
3d_twosphere_traj,ecomann,7,0.2932142274720328,0.2793951630592346,0.0707691523759708,0.1884281039237976,0.3854823708534241
3d_torus_surface,delta,7,0.0596903668982642,0.058556199073791504,0.0027011904625795793,0.05796274542808533,0.06618329137563705
3d_torus_surface,eikonal,7,0.05913633054920605,0.05917631834745407,0.00048317728931411937,0.058610569685697556,0.060157839208841324
3d_torus_surface,vae,7,0.16312937438488007,0.16505680978298187,0.00806707058692189,0.14838440716266632,0.17495259642601013
3d_torus_surface,ecomann,7,0.27513634094170164,0.25293824076652527,0.05714941514070189,0.20805519819259644,0.38924679160118103
3d_torus_surface_traj,delta,7,0.12979394303900854,0.10686895251274109,0.06265559255865892,0.0688958540558815,0.27541008591651917
3d_torus_surface_traj,eikonal,7,0.07961407623120717,0.0651714950799942,0.027249075933390814,0.06257497519254684,0.14336974918842316
3d_torus_surface_traj,vae,7,0.2658693087952478,0.2673031985759735,0.01495024873765131,0.24418868124485016,0.28711944818496704
3d_torus_surface_traj,ecomann,7,0.41547065547534395,0.40159469842910767,0.12073015569216732,0.2836249768733978,0.672947347164154
3d_vz_2d_ellipse,delta,7,0.039246282407215664,0.03940843790769577,0.004661118613779161,0.03203350678086281,0.04797826334834099
3d_vz_2d_ellipse,eikonal,7,0.011306665704718657,0.011258485727012157,0.0014916619367673263,0.009213562123477459,0.014377458952367306
3d_vz_2d_ellipse,vae,7,0.12706294230052403,0.12668468058109283,0.010129647102935084,0.10873198509216309,0.1399986743927002
3d_vz_2d_ellipse,ecomann,7,0.2785273939371109,0.2723805606365204,0.10193401734118372,0.19504046440124512,0.5105425119400024
3d_vz_2d_ellipse_traj,delta,7,0.030027577387435094,0.030432647094130516,0.0026761443566801052,0.026136882603168488,0.03483588993549347
3d_vz_2d_ellipse_traj,eikonal,7,0.007094579416194132,0.007052436470985413,0.00048089539266128257,0.006317262537777424,0.007863291539251804
3d_vz_2d_ellipse_traj,vae,7,0.0662755479237863,0.07576081901788712,0.022825729363487042,0.022295592352747917,0.09875234961509705
3d_vz_2d_ellipse_traj,ecomann,7,0.2483956175191062,0.19022870063781738,0.15013946129567995,0.12405794858932495,0.5998784303665161
6d_workspace_sine_surface_pose,delta,7,0.07259925508073398,0.06463424116373062,0.014713233583600192,0.060807179659605026,0.09935958683490753
6d_workspace_sine_surface_pose,eikonal,7,0.043417787445443015,0.04339347034692764,0.000263626270232878,0.043072935193777084,0.04383351281285286
6d_workspace_sine_surface_pose,vae,7,0.05343287544591086,0.052886173129081726,0.0018919980529676524,0.050587818026542664,0.05643892288208008
6d_workspace_sine_surface_pose,ecomann,4,0.08784054592251778,0.08947771042585373,0.009197190729890552,0.07374257594347,0.09866418689489365
6d_workspace_sine_surface_pose_traj,delta,7,0.06782453187874385,0.06433884054422379,0.009114308568890615,0.06266838312149048,0.09006473422050476
6d_workspace_sine_surface_pose_traj,eikonal,7,0.048378776758909225,0.04869837313890457,0.001195727353283415,0.046875808387994766,0.05051887780427933
6d_workspace_sine_surface_pose_traj,vae,7,0.06624153256416321,0.06549165397882462,0.001955268896498907,0.06312714517116547,0.06875980645418167
6d_workspace_sine_surface_pose_traj,ecomann,7,0.09061056162629809,0.09009099751710892,0.0048351761387382,0.08262129873037338,0.09970953315496445
