[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.016457 | on=0.002876 | off=0.006790
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.013959 | on=0.002929 | off=0.005515
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.010625 | on=0.003403 | off=0.003611
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.008845 | on=0.001881 | off=0.003482
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.009879 | on=0.002644 | off=0.003617
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.007054 | on=0.001689 | off=0.002682
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.008105 | on=0.002239 | off=0.002933
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.007307 | on=0.001935 | off=0.002686
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.007330 | on=0.001617 | off=0.002857
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.005958 | on=0.002286 | off=0.001836
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.005820 | on=0.002253 | off=0.001784
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.005953 | on=0.001156 | off=0.002399
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.006422 | on=0.001570 | off=0.002426
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.004330 | on=0.001313 | off=0.001508
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.004487 | on=0.001250 | off=0.001619
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.006029 | on=0.001769 | off=0.002130
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.003914 | on=0.000426 | off=0.001744
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.004481 | on=0.001218 | off=0.001631
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.003841 | on=0.000771 | off=0.001535
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.003773 | on=0.001562 | off=0.001106
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.004659 | on=0.000512 | off=0.002074
[eval] 3d_spiral | proj_dist=0.031877 | pred_recall=0.888889 | pred_FPrate=0.010299 | chamfer=0.049432 | gt->learned=0.016358 | learned->gt=0.033074 | space=data_space
[done] method=delta dataset=3d_spiral seed=173 proj_dist=0.031877 recall=0.888889 FPrate=0.010299
[run] method=delta dataset=3d_torus_surface seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.053990 | on=0.010923 | off=0.086133
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.043596 | on=0.007468 | off=0.072257
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.028849 | on=0.005175 | off=0.047348
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.009373 | on=0.000880 | off=0.016984
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.009364 | on=0.000862 | off=0.017005
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.005135 | on=0.000386 | off=0.009498
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.004462 | on=0.000441 | off=0.008042
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.003478 | on=0.000251 | off=0.006455
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.002744 | on=0.000221 | off=0.005047
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.002231 | on=0.000195 | off=0.004072
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.001631 | on=0.000196 | off=0.002871
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.002127 | on=0.000187 | off=0.003881
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.001151 | on=0.000214 | off=0.001875
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.001441 | on=0.000201 | off=0.002480
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.000638 | on=0.000085 | off=0.001107
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.001167 | on=0.000116 | off=0.002103
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.001164 | on=0.000111 | off=0.002106
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.000733 | on=0.000121 | off=0.001224
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000835 | on=0.000087 | off=0.001496
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000493 | on=0.000055 | off=0.000877
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000752 | on=0.000052 | off=0.001400
[eval] 3d_torus_surface | proj_dist=0.058267 | pred_recall=0.278146 | pred_FPrate=0.009632 | chamfer=0.162965 | gt->learned=0.059137 | learned->gt=0.103828 | space=data_space
[done] method=delta dataset=3d_torus_surface seed=173 proj_dist=0.058267 recall=0.278146 FPrate=0.009632
[run] method=delta dataset=3d_vz_2d_ellipse seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.286395 | on=0.006331 | off=0.140032
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.176526 | on=0.040262 | off=0.068132
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.145988 | on=0.035778 | off=0.055105
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.177261 | on=0.035668 | off=0.070796
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.154669 | on=0.039631 | off=0.057519
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.096565 | on=0.014244 | off=0.041161
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.037773 | on=0.003557 | off=0.017108
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.082386 | on=0.003214 | off=0.039586
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.057893 | on=0.002381 | off=0.027756
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.091628 | on=0.003592 | off=0.044018
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.063502 | on=0.002710 | off=0.030396
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.096748 | on=0.003371 | off=0.046689
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.052724 | on=0.002252 | off=0.025236
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.092290 | on=0.002034 | off=0.045128
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.066132 | on=0.002720 | off=0.031706
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.053498 | on=0.003014 | off=0.025242
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.075091 | on=0.002312 | off=0.036389
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.051250 | on=0.002408 | off=0.024421
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.055174 | on=0.002418 | off=0.026378
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.035793 | on=0.001678 | off=0.017058
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.056288 | on=0.001948 | off=0.027170
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.047918 | on=0.001359 | off=0.023279
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.043652 | on=0.001412 | off=0.021120
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.028590 | on=0.001533 | off=0.013528
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.033994 | on=0.001812 | off=0.016091
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.032168 | on=0.001497 | off=0.015335
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.050777 | on=0.001334 | off=0.024722
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.053590 | on=0.001215 | off=0.026187
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.039473 | on=0.001090 | off=0.019191
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.055407 | on=0.001135 | off=0.027136
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.039909 | on=0.001098 | off=0.019405
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.030232 | on=0.000948 | off=0.014642
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.036374 | on=0.001333 | off=0.017520
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.047466 | on=0.001956 | off=0.022755
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.033689 | on=0.001441 | off=0.016124
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.025432 | on=0.001541 | off=0.011946
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.060143 | on=0.001156 | off=0.029493
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.075254 | on=0.001389 | off=0.036932
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.047408 | on=0.001219 | off=0.023095
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.081109 | on=0.002098 | off=0.039505
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.048143 | on=0.002008 | off=0.023068
[eval] 3d_vz_2d_ellipse | proj_dist=0.235291 | pred_recall=0.733333 | pred_FPrate=0.073045 | chamfer=0.277859 | gt->learned=0.042364 | learned->gt=0.235495 | space=data_space
[done] method=delta dataset=3d_vz_2d_ellipse seed=173 proj_dist=0.235291 recall=0.733333 FPrate=0.073045
[saved] /home/baiyu/PycharmProjects/equality_manofld/outputs_unified/sweeps/delta_all_3d/sweep_summary_delta_seed173.json
[sweep] method=delta avg_metrics=18 over cases=6
