[run] method=delta dataset=2d_discontinuous seed=173
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.005007 | on=0.001473 | off=0.001178
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.003974 | on=0.001239 | off=0.000912
[eval] 2d_ellipse | proj_dist=0.019455 | pred_recall=0.773973 | pred_FPrate=0.039432 | chamfer=0.033563 | gt->learned=0.013018 | learned->gt=0.020545 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/baseline_udf/plots.py:482: UserWarning: No artists with labels found to put in legend.  Note that artists whose label start with an underscore are ignored when legend() is called with no argument.
  plt.legend()
[done] method=delta dataset=2d_ellipse seed=173 proj_dist=0.019455 recall=0.773973 FPrate=0.039432
[run] method=delta dataset=2d_figure_eight seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.178439 | on=0.007526 | off=0.056971
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.133282 | on=0.028179 | off=0.035034
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.068194 | on=0.015155 | off=0.017680
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.062032 | on=0.016456 | off=0.015192
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.073013 | on=0.015453 | off=0.019187
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.065475 | on=0.014290 | off=0.017061
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.057481 | on=0.014889 | off=0.014198
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.062183 | on=0.014047 | off=0.016045
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.059068 | on=0.013677 | off=0.015130
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.068557 | on=0.011917 | off=0.018880
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.061625 | on=0.011677 | off=0.016650
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.063007 | on=0.011109 | off=0.017299
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.044859 | on=0.011676 | off=0.011061
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.054451 | on=0.009626 | off=0.014942
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.050668 | on=0.008660 | off=0.014003
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.063045 | on=0.006744 | off=0.018767
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.043815 | on=0.007943 | off=0.011957
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.031961 | on=0.005615 | off=0.008782
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.037088 | on=0.005704 | off=0.010461
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.027256 | on=0.005043 | off=0.007404
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.022084 | on=0.004537 | off=0.005849
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.023283 | on=0.004204 | off=0.006360
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.020486 | on=0.004227 | off=0.005419
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.015004 | on=0.003511 | off=0.003831
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.015986 | on=0.003388 | off=0.004199
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.021536 | on=0.002995 | off=0.006180
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.012435 | on=0.002539 | off=0.003299
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.012110 | on=0.002003 | off=0.003369
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.014524 | on=0.002080 | off=0.004148
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.011170 | on=0.002619 | off=0.002850
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.014237 | on=0.001924 | off=0.004104
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.011803 | on=0.001528 | off=0.003425
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.012062 | on=0.001570 | off=0.003497
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.011218 | on=0.001803 | off=0.003138
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.008812 | on=0.001715 | off=0.002366
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.013267 | on=0.001298 | off=0.003990
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.008237 | on=0.001383 | off=0.002285
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.012081 | on=0.001601 | off=0.003493
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.012105 | on=0.001559 | off=0.003515
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.009319 | on=0.001456 | off=0.002621
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.008126 | on=0.001302 | off=0.002275
[eval] 2d_figure_eight | proj_dist=0.036864 | pred_recall=0.795380 | pred_FPrate=0.131558 | chamfer=0.075101 | gt->learned=0.037590 | learned->gt=0.037511 | space=data_space
[done] method=delta dataset=2d_figure_eight seed=173 proj_dist=0.036864 recall=0.795380 FPrate=0.131558
[run] method=delta dataset=2d_hetero_noise seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.191496 | on=0.008782 | off=0.060905
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.178304 | on=0.042162 | off=0.045381
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.197717 | on=0.029631 | off=0.056029
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.150154 | on=0.029629 | off=0.040175
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.178660 | on=0.036210 | off=0.047483
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.117351 | on=0.032499 | off=0.028284
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.158174 | on=0.027922 | off=0.043417
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.102088 | on=0.024626 | off=0.025821
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.110860 | on=0.031192 | off=0.026556
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.093345 | on=0.029392 | off=0.021318
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.106095 | on=0.018638 | off=0.029152
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.096671 | on=0.027384 | off=0.023096
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.083634 | on=0.019142 | off=0.021497
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.083051 | on=0.020740 | off=0.020770
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.082069 | on=0.013630 | off=0.022813
