[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.011945 | on=0.000133 | off=0.023624
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.011133 | on=0.000357 | off=0.021552
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.014782 | on=0.000300 | off=0.028964
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.017787 | on=0.000039 | off=0.035497
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.015970 | on=0.000258 | off=0.031425
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.015495 | on=0.000139 | off=0.030713
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.016439 | on=0.000177 | off=0.032523
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.011543 | on=0.000330 | off=0.022427
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.015224 | on=0.000043 | off=0.030362
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.013747 | on=0.000138 | off=0.027217
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.012446 | on=0.000244 | off=0.024404
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.010718 | on=0.000068 | off=0.021299
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.012481 | on=0.000043 | off=0.024877
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.007959 | on=0.000043 | off=0.015832
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.012395 | on=0.000139 | off=0.024512
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.009149 | on=0.000105 | off=0.018086
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.011717 | on=0.000107 | off=0.023218
[eval] 3d_spiral | proj_dist=0.419112 | pred_recall=0.611111 | pred_FPrate=0.030407 | chamfer=0.454435 | gt->learned=0.034705 | learned->gt=0.419730 | space=data_space
[done] method=delta dataset=3d_spiral seed=173 proj_dist=0.419112 recall=0.611111 FPrate=0.030407
[run] method=delta dataset=3d_torus_surface seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.056419 | on=0.008567 | off=0.095703
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.042139 | on=0.008845 | off=0.066588
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.027817 | on=0.006140 | off=0.043354
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.011125 | on=0.001223 | off=0.019805
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.004835 | on=0.000840 | off=0.007991
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.004105 | on=0.000312 | off=0.007585
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.003399 | on=0.000371 | off=0.006056
[train] method=delta ep= 350/1000 | lr=3.00e-04 | loss=0.001951 | on=0.000309 | off=0.003284
[train] method=delta ep= 400/1000 | lr=3.00e-04 | loss=0.003168 | on=0.000378 | off=0.005580
[train] method=delta ep= 450/1000 | lr=3.00e-04 | loss=0.002510 | on=0.000237 | off=0.004546
[train] method=delta ep= 500/1000 | lr=3.00e-04 | loss=0.001609 | on=0.000183 | off=0.002852
[train] method=delta ep= 550/1000 | lr=3.00e-04 | loss=0.001499 | on=0.000193 | off=0.002613
[train] method=delta ep= 600/1000 | lr=3.00e-04 | loss=0.001685 | on=0.000105 | off=0.003162
[train] method=delta ep= 650/1000 | lr=3.00e-04 | loss=0.001677 | on=0.000214 | off=0.002926
[train] method=delta ep= 700/1000 | lr=3.00e-04 | loss=0.001064 | on=0.000186 | off=0.001755
[train] method=delta ep= 750/1000 | lr=3.00e-04 | loss=0.001154 | on=0.000171 | off=0.001964
[train] method=delta ep= 800/1000 | lr=3.00e-04 | loss=0.001123 | on=0.000097 | off=0.002054
[train] method=delta ep= 850/1000 | lr=3.00e-04 | loss=0.001097 | on=0.000150 | off=0.001895
[train] method=delta ep= 900/1000 | lr=3.00e-04 | loss=0.000808 | on=0.000054 | off=0.001508
[train] method=delta ep= 950/1000 | lr=3.00e-04 | loss=0.000944 | on=0.000085 | off=0.001718
[train] method=delta ep=1000/1000 | lr=3.00e-04 | loss=0.000641 | on=0.000109 | off=0.001064
[eval] 3d_torus_surface | proj_dist=0.058230 | pred_recall=0.251656 | pred_FPrate=0.007858 | chamfer=0.164007 | gt->learned=0.059178 | learned->gt=0.104829 | space=data_space
[done] method=delta dataset=3d_torus_surface seed=173 proj_dist=0.058230 recall=0.251656 FPrate=0.007858
[run] method=delta dataset=3d_vz_2d_ellipse seed=173
