[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.087203 | on=0.015117 | off=0.007209
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.072678 | on=0.012696 | off=0.005998
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.073902 | on=0.012553 | off=0.006135
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.059385 | on=0.011412 | off=0.004797
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.080452 | on=0.013970 | off=0.006648
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.081783 | on=0.009585 | off=0.007220
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.054887 | on=0.010509 | off=0.004438
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.042342 | on=0.010292 | off=0.003205
[eval] 2d_figure_eight | proj_dist=0.052757 | pred_recall=0.752475 | pred_FPrate=0.273135 | chamfer=0.119039 | gt->learned=0.065681 | learned->gt=0.053358 | space=data_space
/home/baiyu/PycharmProjects/equality_manofld/methods/baseline_udf/plots.py:482: UserWarning: No artists with labels found to put in legend.  Note that artists whose label start with an underscore are ignored when legend() is called with no argument.
  plt.legend()
[done] method=delta dataset=2d_figure_eight seed=173 proj_dist=0.052757 recall=0.752475 FPrate=0.273135
[run] method=delta dataset=2d_looped_spiro seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.492551 | on=0.007764 | off=0.048479
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.385568 | on=0.052075 | off=0.033349
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.368026 | on=0.044456 | off=0.032357
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.391387 | on=0.041341 | off=0.035005
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.347601 | on=0.043547 | off=0.030405
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.339458 | on=0.054635 | off=0.028482
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.404135 | on=0.048343 | off=0.035579
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.393289 | on=0.041021 | off=0.035227
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.342297 | on=0.038043 | off=0.030425
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.251668 | on=0.038441 | off=0.021323
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.216304 | on=0.038377 | off=0.017793
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.225878 | on=0.038853 | off=0.018703
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.323485 | on=0.033521 | off=0.028996
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.232427 | on=0.034167 | off=0.019826
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.274089 | on=0.036461 | off=0.023763
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.206658 | on=0.036405 | off=0.017025
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.209025 | on=0.028260 | off=0.018077
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.194174 | on=0.030149 | off=0.016403
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.186650 | on=0.026566 | off=0.016008
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.169214 | on=0.033773 | off=0.013544
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.181067 | on=0.027943 | off=0.015312
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.188005 | on=0.025888 | off=0.016212
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.160061 | on=0.024158 | off=0.013590
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.182152 | on=0.025745 | off=0.015641
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.175707 | on=0.026939 | off=0.014877
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.151240 | on=0.025213 | off=0.012603
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.173484 | on=0.026691 | off=0.014679
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.198853 | on=0.021723 | off=0.017713
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.180755 | on=0.024013 | off=0.015674
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.141586 | on=0.025008 | off=0.011658
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.163208 | on=0.022810 | off=0.014040
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.169960 | on=0.022596 | off=0.014736
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.170139 | on=0.027330 | off=0.014281
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.143753 | on=0.022940 | off=0.012081
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.182417 | on=0.022174 | off=0.016024
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.182713 | on=0.023122 | off=0.015959
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.126595 | on=0.025728 | off=0.010087
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.189324 | on=0.023454 | off=0.016587
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.183335 | on=0.020724 | off=0.016261
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.177666 | on=0.021712 | off=0.015595
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.162366 | on=0.022293 | off=0.014007
[eval] 2d_looped_spiro | proj_dist=0.147130 | pred_recall=0.942675 | pred_FPrate=0.349815 | chamfer=0.248343 | gt->learned=0.100968 | learned->gt=0.147375 | space=data_space
[done] method=delta dataset=2d_looped_spiro seed=173 proj_dist=0.147130 recall=0.942675 FPrate=0.349815
[run] method=delta dataset=2d_planar_arm_line_n2 seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.892250 | on=0.011567 | off=0.088068
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.637284 | on=0.078406 | off=0.055888
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.616869 | on=0.076452 | off=0.054042
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.771475 | on=0.075406 | off=0.069607
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.629210 | on=0.078568 | off=0.055064
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.739889 | on=0.105479 | off=0.063441
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.765025 | on=0.083667 | off=0.068136
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.663607 | on=0.079132 | off=0.058448
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.593820 | on=0.082943 | off=0.051088
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.748646 | on=0.079559 | off=0.066909
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.674976 | on=0.084495 | off=0.059048
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.664499 | on=0.069807 | off=0.059469
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.581291 | on=0.068639 | off=0.051265
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.604653 | on=0.071174 | off=0.053348
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.674051 | on=0.068349 | off=0.060570
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.618466 | on=0.072907 | off=0.054556
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.522080 | on=0.078460 | off=0.044362
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.644595 | on=0.068097 | off=0.057650
