method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual,train_seconds
vae,3d_torus_surface_traj,271,0.59797203540802,0.12958158552646637,0.12958158552646637,0.4304540157318115,0.18725579977035522,0.2442728579044342,0.6238136887550354,0.3536991477012634,1.1158913373947144,1024.0,4096.0,0.06481952211489578,0.0036710831336677074,0.1357421875,0.255615234375,0.32769280672073364,1.0,0.5973961353302002,0.20101742446422577,4.244880320999073
vae,3d_torus_surface_traj,509,0.598638117313385,0.13091552257537842,0.13091552257537842,0.4401535093784332,0.16262605786323547,0.2754940986633301,0.7638058066368103,0.32314401865005493,1.0426427125930786,1024.0,4096.0,0.06795622295749555,0.0044650849886238575,0.146484375,0.256591796875,0.29403337836265564,1.0,0.5657291412353516,0.16303522884845734,4.234994649999862
vae,3d_torus_surface_traj,877,0.6116025447845459,0.15135900676250458,0.15135900676250458,0.4486815631389618,0.17972645163536072,0.26154422760009766,0.6655567288398743,0.35005831718444824,1.0797326564788818,1024.0,4096.0,0.07283414260158447,0.006944634020328522,0.129150390625,0.246337890625,0.32386934757232666,1.0,0.638735294342041,0.23437687754631042,4.123270642001444
vae,3d_torus_surface_traj,1123,0.5988737344741821,0.14992386102676392,0.14992386102676392,0.43817639350891113,0.18947124481201172,0.24969783425331116,0.5696115493774414,0.3491758704185486,1.0955522060394287,1024.0,4096.0,0.08510094556606185,0.005184490233659744,0.145263671875,0.219970703125,0.321419894695282,1.0,0.652286946773529,0.21465781331062317,4.470405585998378
vae,3d_torus_surface_traj,2027,0.6617252230644226,0.12278048694133759,0.12278048694133759,0.48528069257736206,0.17203347384929657,0.29805415868759155,0.9126666188240051,0.36367106437683105,1.2556757926940918,1024.0,4096.0,0.06292993630573249,0.00398052204400301,0.170654296875,0.224609375,0.3366682827472687,1.0,0.7025821208953857,0.21125489473342896,4.4306924660013465
vae,3d_torus_surface_traj,3251,0.6310354471206665,0.13578005135059357,0.13578005135059357,0.46127235889434814,0.18209980428218842,0.2862623929977417,0.7487177848815918,0.3447730839252472,1.0847184658050537,1024.0,4096.0,0.0715191478569617,0.0038827406242489815,0.15283203125,0.22021484375,0.31598588824272156,1.0,0.6692705154418945,0.18136778473854065,4.457362836001266
vae,6d_spatial_arm_up_n6_py,173,0.6122841835021973,0.25869953632354736,0.25869953632354736,0.7459174394607544,0.6458836793899536,0.09475578367710114,0.1558045595884323,0.5175284147262573,1.8687193393707275,1024.0,4096.0,0.008544921875,0.01925269141793251,0.00048828125,0.8984375,0.5094925165176392,1.0,0.6713240146636963,0.613783061504364,15.957376786001987
vae,6d_spatial_arm_up_n6_py,271,0.5419887900352478,0.3338637351989746,0.3338637351989746,0.7002110481262207,0.5984974503517151,0.09541420638561249,0.15528587996959686,0.4465745687484741,1.7188000679016113,1024.0,4096.0,0.013427734375,0.030060414224863052,0.0,0.89892578125,0.4373959004878998,1.0,0.7171210050582886,0.6968719959259033,17.221891265999147
vae,6d_spatial_arm_up_n6_py,509,0.48712968826293945,0.25284266471862793,0.25284266471862793,0.49446016550064087,0.3995499014854431,0.09307585656642914,0.15155479311943054,0.3940538167953491,1.663434386253357,1024.0,4096.0,0.005859375,0.02143232151865959,0.0,0.8994140625,0.3866165578365326,1.0,0.6770676374435425,0.5389406681060791,16.65360689999943
vae,6d_spatial_arm_up_n6_py,877,0.5234071016311646,0.2580617368221283,0.2580617368221283,0.6957799792289734,0.5942723751068115,0.09318049252033234,0.1517414152622223,0.4302266240119934,1.7924573421478271,1024.0,4096.0,0.0068359375,0.021736109629273415,0.00048828125,0.89892578125,0.4221192002296448,1.0,0.6766140460968018,0.556052565574646,16.215354552001372
