[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.001214 | on=0.000236 | off=0.000326
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.001568 | on=0.000416 | off=0.000384
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.001947 | on=0.000158 | off=0.000596
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.001600 | on=0.000062 | off=0.000513
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.000800 | on=0.000269 | off=0.000177
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.001135 | on=0.000253 | off=0.000294
[eval] 3d_spatial_arm_circle_n3 | proj_dist=0.006237 | pred_recall=0.090909 | pred_FPrate=0.000000 | chamfer=0.012783 | gt->learned=0.005035 | learned->gt=0.007749 | space=workspace
[done] method=delta dataset=3d_spatial_arm_circle_n3 seed=173 proj_dist=0.006237 recall=0.090909 FPrate=0.000000
[run] method=delta dataset=3d_spiral seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.280278 | on=0.008540 | off=0.090579
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.203596 | on=0.050708 | off=0.050962
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.221270 | on=0.047982 | off=0.057763
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.178851 | on=0.044789 | off=0.044687
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.154743 | on=0.045931 | off=0.036271
[train] method=delta ep= 250/2000 | lr=3.00e-04 | loss=0.149039 | on=0.034043 | off=0.038332
[train] method=delta ep= 300/2000 | lr=3.00e-04 | loss=0.126726 | on=0.029454 | off=0.032424
[train] method=delta ep= 350/2000 | lr=3.00e-04 | loss=0.100717 | on=0.015104 | off=0.028538
[train] method=delta ep= 400/2000 | lr=3.00e-04 | loss=0.049955 | on=0.009445 | off=0.013503
[train] method=delta ep= 450/2000 | lr=3.00e-04 | loss=0.049848 | on=0.011146 | off=0.012900
[train] method=delta ep= 500/2000 | lr=3.00e-04 | loss=0.059867 | on=0.008203 | off=0.017221
[train] method=delta ep= 550/2000 | lr=3.00e-04 | loss=0.050193 | on=0.012057 | off=0.012712
[train] method=delta ep= 600/2000 | lr=3.00e-04 | loss=0.034347 | on=0.009611 | off=0.008245
[train] method=delta ep= 650/2000 | lr=3.00e-04 | loss=0.040190 | on=0.008685 | off=0.010502
[train] method=delta ep= 700/2000 | lr=3.00e-04 | loss=0.033676 | on=0.006705 | off=0.008990
[train] method=delta ep= 750/2000 | lr=3.00e-04 | loss=0.030701 | on=0.009290 | off=0.007137
[train] method=delta ep= 800/2000 | lr=3.00e-04 | loss=0.026230 | on=0.008693 | off=0.005846
[train] method=delta ep= 850/2000 | lr=3.00e-04 | loss=0.022237 | on=0.005075 | off=0.005721
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.024860 | on=0.008943 | off=0.005306
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.017324 | on=0.002993 | off=0.004777
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.017732 | on=0.005140 | off=0.004197
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.013999 | on=0.004748 | off=0.003084
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.012643 | on=0.005861 | off=0.002261
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.012066 | on=0.002489 | off=0.003193
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.013631 | on=0.004069 | off=0.003188
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.010124 | on=0.004031 | off=0.002031
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.010813 | on=0.002604 | off=0.002736
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.010261 | on=0.003169 | off=0.002364
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.010409 | on=0.002157 | off=0.002751
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.008824 | on=0.003139 | off=0.001895
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.009299 | on=0.003825 | off=0.001825
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.008886 | on=0.001682 | off=0.002402
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.009558 | on=0.003300 | off=0.002086
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.007898 | on=0.002742 | off=0.001719
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.006566 | on=0.002273 | off=0.001431
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.008826 | on=0.002796 | off=0.002010
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.006714 | on=0.001980 | off=0.001578
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.007346 | on=0.002081 | off=0.001755
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.007003 | on=0.001068 | off=0.001979
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.006215 | on=0.002735 | off=0.001160
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.006279 | on=0.001050 | off=0.001743
[eval] 3d_spiral | proj_dist=0.026670 | pred_recall=0.944444 | pred_FPrate=0.009073 | chamfer=0.041135 | gt->learned=0.013018 | learned->gt=0.028116 | space=data_space
[done] method=delta dataset=3d_spiral seed=173 proj_dist=0.026670 recall=0.944444 FPrate=0.009073
[run] method=delta dataset=3d_torus_surface seed=173
[train] method=delta ep=   1/2000 | lr=3.00e-04 | loss=0.251165 | on=0.016850 | off=0.078105
[train] method=delta ep=  50/2000 | lr=3.00e-04 | loss=0.190587 | on=0.042226 | off=0.049454
[train] method=delta ep= 100/2000 | lr=3.00e-04 | loss=0.157810 | on=0.035791 | off=0.040673
[train] method=delta ep= 150/2000 | lr=3.00e-04 | loss=0.136958 | on=0.036996 | off=0.033321
[train] method=delta ep= 200/2000 | lr=3.00e-04 | loss=0.151148 | on=0.038861 | off=0.037429
