[run] method=delta dataset=3d_planar_arm_line_n3 seed=173
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.007181 | on=0.000160 | off=0.023403
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.004674 | on=0.000129 | off=0.015149
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.008050 | on=0.000130 | off=0.026401
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.008292 | on=0.000036 | off=0.027519
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.005393 | on=0.000090 | off=0.017675
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.006461 | on=0.000096 | off=0.021214
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.008102 | on=0.000087 | off=0.026715
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.007810 | on=0.000022 | off=0.025960
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.005721 | on=0.000098 | off=0.018745
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.008008 | on=0.000097 | off=0.026369
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.009147 | on=0.000083 | off=0.030215
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.007072 | on=0.000113 | off=0.023195
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.005856 | on=0.000051 | off=0.019349
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.006087 | on=0.000188 | off=0.019662
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.007044 | on=0.000111 | off=0.023110
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.005027 | on=0.000085 | off=0.016475
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.006586 | on=0.000238 | off=0.021160
[eval] 3d_spiral | proj_dist=0.417729 | pred_recall=0.388889 | pred_FPrate=0.024031 | chamfer=0.452386 | gt->learned=0.034024 | learned->gt=0.418362 | space=data_space
[done] method=delta dataset=3d_spiral seed=173 proj_dist=0.417729 recall=0.388889 FPrate=0.024031
[run] method=delta dataset=3d_torus_surface seed=173
[train] method=delta ep=   1/1000 | lr=3.00e-04 | loss=0.035622 | on=0.004189 | off=0.104777
[train] method=delta ep=  50/1000 | lr=3.00e-04 | loss=0.025556 | on=0.004195 | off=0.071203
[train] method=delta ep= 100/1000 | lr=3.00e-04 | loss=0.019258 | on=0.004006 | off=0.050842
[train] method=delta ep= 150/1000 | lr=3.00e-04 | loss=0.006110 | on=0.000753 | off=0.017858
[train] method=delta ep= 200/1000 | lr=3.00e-04 | loss=0.006587 | on=0.000386 | off=0.020669
[train] method=delta ep= 250/1000 | lr=3.00e-04 | loss=0.003746 | on=0.000200 | off=0.011819
[train] method=delta ep= 300/1000 | lr=3.00e-04 | loss=0.003061 | on=0.000239 | off=0.009408
