[run] method=delta dataset=2d_ellipse seed=173
[train] method=delta ep= 900/2000 | lr=3.00e-04 | loss=0.183257 | on=0.020831 | off=0.016243
[train] method=delta ep= 950/2000 | lr=3.00e-04 | loss=0.162240 | on=0.022246 | off=0.013999
[train] method=delta ep=1000/2000 | lr=3.00e-04 | loss=0.188416 | on=0.023421 | off=0.016500
[train] method=delta ep=1050/2000 | lr=3.00e-04 | loss=0.182902 | on=0.023414 | off=0.015949
[train] method=delta ep=1100/2000 | lr=3.00e-04 | loss=0.169099 | on=0.023044 | off=0.014606
[train] method=delta ep=1150/2000 | lr=3.00e-04 | loss=0.176927 | on=0.021610 | off=0.015532
[train] method=delta ep=1200/2000 | lr=3.00e-04 | loss=0.162398 | on=0.022728 | off=0.013967
[train] method=delta ep=1250/2000 | lr=3.00e-04 | loss=0.146622 | on=0.023599 | off=0.012302
[train] method=delta ep=1300/2000 | lr=3.00e-04 | loss=0.154794 | on=0.021318 | off=0.013348
[train] method=delta ep=1350/2000 | lr=3.00e-04 | loss=0.104472 | on=0.021232 | off=0.008324
[train] method=delta ep=1400/2000 | lr=3.00e-04 | loss=0.196894 | on=0.020663 | off=0.017623
[train] method=delta ep=1450/2000 | lr=3.00e-04 | loss=0.159226 | on=0.025905 | off=0.013332
[train] method=delta ep=1500/2000 | lr=3.00e-04 | loss=0.131587 | on=0.020445 | off=0.011114
[train] method=delta ep=1550/2000 | lr=3.00e-04 | loss=0.132704 | on=0.019339 | off=0.011336
[train] method=delta ep=1600/2000 | lr=3.00e-04 | loss=0.152808 | on=0.021893 | off=0.013091
[train] method=delta ep=1650/2000 | lr=3.00e-04 | loss=0.194052 | on=0.022750 | off=0.017130
[train] method=delta ep=1700/2000 | lr=3.00e-04 | loss=0.160294 | on=0.021052 | off=0.013924
[train] method=delta ep=1750/2000 | lr=3.00e-04 | loss=0.209993 | on=0.020895 | off=0.018910
[train] method=delta ep=1800/2000 | lr=3.00e-04 | loss=0.139437 | on=0.022642 | off=0.011679
[train] method=delta ep=1850/2000 | lr=3.00e-04 | loss=0.153563 | on=0.021903 | off=0.013166
[train] method=delta ep=1900/2000 | lr=3.00e-04 | loss=0.201062 | on=0.020799 | off=0.018026
[train] method=delta ep=1950/2000 | lr=3.00e-04 | loss=0.127310 | on=0.022804 | off=0.010451
[train] method=delta ep=2000/2000 | lr=3.00e-04 | loss=0.163196 | on=0.020971 | off=0.014222
[eval] 2d_planar_arm_line_n2 | proj_dist=0.612750 | pred_recall=0.941176 | pred_FPrate=0.632828 | chamfer=0.634270 | gt->learned=0.021480 | learned->gt=0.612789 | space=workspace
[done] method=delta dataset=2d_planar_arm_line_n2 seed=173 proj_dist=0.612750 recall=0.941176 FPrate=0.632828
[run] method=delta dataset=2d_sparse_sine seed=173
