method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
oncl,proj_manifold_dist,0.75,21,0.08070915210105124,0.08518502318199209,0.2,0.189751630737668,-0.10904247863661674,-57.46589803350264
oncl,proj_manifold_dist,1.0,21,0.05378370661111105,0.03142769784042441,0.2,0.189751630737668,-0.13596792412655695,-71.6557341815591
oncl,proj_manifold_dist,1.5,21,0.04203990935569718,0.016339949161208116,0.2,0.189751630737668,-0.1477117213819708,-77.84477045479655
oncl,proj_manifold_dist,3.0,21,0.042465303891471455,0.022631725608185473,0.2,0.189751630737668,-0.14728632684619652,-77.62058553784983
oncl,bidirectional_chamfer,0.2,21,0.5116246810981205,0.40016205507330743,0.2,0.5116246810981205,0.0,0.0
oncl,bidirectional_chamfer,0.5,21,0.23427237091319902,0.18248223217266427,0.2,0.5116246810981205,-0.2773523101849215,-54.21011151956726
oncl,bidirectional_chamfer,0.75,21,0.21324202258672034,0.1680352040894582,0.2,0.5116246810981205,-0.2983826585114002,-58.32061460971148
oncl,bidirectional_chamfer,1.0,21,0.15925812756731397,0.10670221160021238,0.2,0.5116246810981205,-0.3523665535308066,-68.87207880091088
oncl,bidirectional_chamfer,1.5,21,0.13867702423816636,0.10350258937123702,0.2,0.5116246810981205,-0.3729476568599542,-72.89477436066643
oncl,bidirectional_chamfer,3.0,21,0.1320133385736318,0.10109145184222437,0.2,0.5116246810981205,-0.37961134252448875,-74.19723022542887
oncl,pred_recall,0.2,21,0.13667866169506593,0.10888800921010204,0.2,0.13667866169506593,0.0,0.0
oncl,pred_recall,0.5,21,0.4774412544496753,0.19462603146608556,0.2,0.13667866169506593,0.34076259275460935,249.31660035921382
oncl,pred_recall,0.75,21,0.6015291144162535,0.19438367719490746,0.2,0.13667866169506593,0.4648504527211875,340.1046271277388
oncl,pred_recall,1.0,21,0.730160706184875,0.10100470029568721,0.2,0.13667866169506593,0.5934820444898091,434.2170439259091
oncl,pred_recall,1.5,21,0.8244131028760291,0.05378967742601951,0.2,0.13667866169506593,0.6877344411809632,503.17615979831487
oncl,pred_recall,3.0,21,0.86653674367093,0.05510638495989248,0.2,0.13667866169506593,0.7298580819758641,533.9956310109319
oncl,pred_precision,0.2,21,0.28574916294642855,0.1296918241269113,0.2,0.28574916294642855,0.0,0.0
oncl,pred_precision,0.5,21,0.6496698288690477,0.14564684634800212,0.2,0.28574916294642855,0.3639206659226191,127.3566866023842
oncl,pred_precision,0.75,21,0.7280505952380952,0.15104487216849063,0.2,0.28574916294642855,0.4423014322916667,154.78660645266288
oncl,pred_precision,1.0,21,0.7930385044642857,0.08622766035635654,0.2,0.28574916294642855,0.5072893415178572,177.52959843769074
oncl,pred_precision,1.5,21,0.8552594866071429,0.08571270362211346,0.2,0.28574916294642855,0.5695103236607144,199.3042841450019
oncl,pred_precision,3.0,21,0.8659900483630952,0.09461140362738672,0.2,0.28574916294642855,0.5802408854166667,203.05952235648323
oncl,pred_FPrate,0.2,21,0.012619479534828273,0.01491541206160182,0.2,0.012619479534828273,0.0,0.0
oncl,pred_FPrate,0.5,21,0.003277706619539115,0.005077112607142666,0.2,0.012619479534828273,-0.009341772915289159,-74.02661012688336
oncl,pred_FPrate,0.75,21,0.004141639659838213,0.0069513318960488495,0.2,0.012619479534828273,-0.00847783987499006,-67.18058261905512
oncl,pred_FPrate,1.0,21,0.0015835562138156285,0.0026533468108964012,0.2,0.012619479534828273,-0.011035923321012645,-87.45149346733992
oncl,pred_FPrate,1.5,21,0.0005174773790767754,0.000616238187914315,0.2,0.012619479534828273,-0.012102002155751497,-95.89937621715222
oncl,pred_FPrate,3.0,21,0.0004707976711957737,0.000658870604984545,0.2,0.012619479534828273,-0.012148681863632499,-96.26927822263646
oncl,train_seconds,0.2,21,10.209627023479523,8.244717017584266,0.2,10.209627023479523,0.0,0.0
oncl,train_seconds,0.5,21,18.884695747523523,17.586290208750718,0.2,10.209627023479523,8.675068724044,84.96949696686829
oncl,train_seconds,0.75,21,27.91596899328371,25.276571622007246,0.2,10.209627023479523,17.706341969804186,173.42790220528272
